Generation,Minimum,Average,Median,Maximum,
0,-482,-298.64,-291,-141,
1,-289,-193.13,-192,-66,
2,-217,-117.01,-110,-42,
3,-178,-96.82,-93,-30,
4,-147,-76.59,-70,-23,
5,-153,-58.99,-58,-9,
6,-120,-56.37,-53,-6,
7,-123,-63.72,-62,-14,
8,-135,-54.88,-52,-9,
9,-173,-48.74,-48,-8,
10,-117,-45.76,-42,-7,
11,-144,-46.92,-40,-8,
12,-151,-46.3,-42,-9,
13,-108,-44.28,-39,-11,
14,-138,-49.73,-47,-2,
15,-117,-44.69,-44,-8,
16,-149,-45.15,-40,0,
17,-116,-45.19,-39,-9,
18,-112,-47.21,-46,-5,
19,-136,-42.71,-40,-4,
20,-106,-41.24,-36,-5,
21,-88,-31.03,-28,-5,
22,-116,-35.2,-31,3,
23,-174,-33.21,-27,0,
24,-74,-32.89,-28,0,
25,-73,-26.92,-25,1,
26,-119,-31.84,-26,1,
27,-90,-27.58,-24,-1,
28,-101,-33.07,-31,4,
29,-121,-37.47,-35,-3,
30,-119,-35.35,-32,2,
31,-141,-34.43,-30,2,
32,-152,-26.29,-23,2,
33,-121,-32.31,-29,1,
34,-125,-33.56,-29,2,
35,-90,-26.25,-24,3,
36,-87,-25.44,-20,2,
37,-143,-22.99,-16,5,
38,-136,-19.84,-10,4,
39,-83,-16.57,-11,4,
40,-96,-13.63,-7,4,
41,-72,-11.02,-6,5,
42,-134,-13.95,-9,6,
43,-117,-17.15,-12,5,
44,-128,-15.58,-10,5,
45,-154,-16.92,-11,5,
46,-102,-19.48,-11,5,
47,-128,-24.31,-18,8,
48,-107,-12.38,-7,7,
49,-133,-18.16,-10,7,
50,-191,-16.83,-11,9,
51,-143,-12.1,-4,8,
52,-89,-19.29,-15,6,
53,-193,-17.72,-10,5,
54,-130,-18.85,-12,7,
55,-133,-17.97,-12,7,
56,-120,-18.58,-11,10,
57,-122,-20.64,-14,8,
58,-116,-16.69,-10,9,
59,-108,-21.57,-14,8,
60,-110,-18.45,-12,7,
61,-149,-19.05,-15,9,
62,-128,-20.78,-15,9,
63,-179,-21.44,-12,7,
64,-149,-18.38,-14,8,
65,-84,-12.29,-7,9,
66,-126,-12.9,-4,9,
67,-190,-16.28,-9,11,
68,-217,-18.84,-7,11,
69,-143,-25.58,-15,10,
70,-134,-19.97,-14,7,
71,-158,-23.06,-18,6,
72,-142,-19.11,-12,13,
73,-77,-7.87,-2,11,
74,-94,-11.84,-5,15,
75,-69,-9.13,-4,13,
76,-185,-17.31,-6,11,
77,-112,-15.69,-12,12,
78,-180,-13.39,-6,12,
79,-115,-15.07,-8,15,
80,-142,-11.51,-6,19,
81,-201,-14.64,-2,18,
82,-163,-13.35,-2,19,
83,-140,-7.42,1,22,
84,-103,-4.88,0,25,
85,-236,-9.54,1,25,
86,-118,-7.25,1,24,
87,-196,-9.55,1,23,
88,-190,-0.23,6,31,
89,-147,-9.13,2,27,
90,-249,-10.51,2,26,
91,-91,-3.09,4,31,
92,-168,-2.04,7,31,
93,-174,-0.27,13,36,
94,-150,4.3,14,33,
95,-164,4.11,13,32,
96,-181,1.19,15,37,
97,-102,12.6,19,47,
98,-204,7.89,20,35,
99,-168,9.2,22,41,
100,-127,7.99,16,44,
101,-94,12,18,43,
102,-147,6.77,21,43,
103,-237,5.41,19,51,
104,-166,11.24,21,47,
105,-155,12.16,22,58,
106,-142,13.57,25,51,
107,-200,9.47,21,53,
108,-251,13.13,30,61,
109,-203,18.81,32,62,
110,-196,16.83,31,60,
111,-156,18.44,30,72,
112,-164,33.43,47,92,
113,-144,47.01,60,102,
114,-231,41.58,57,96,
115,-322,46.17,65,107,
116,-237,57.92,73,116,
117,-271,48.51,75,129,
118,-353,52.21,82,125,
119,-279,63.2,86,128,
120,-251,59.91,84,123,
121,-303,55.15,79,136,
122,-275,60.8,84,158,
123,-136,81.75,94,171,
124,-286,77.17,103,169,
125,-377,89.08,128,179,
126,-364,88.13,122,176,
127,-473,93.93,122,173,
128,-406,98.82,129,173,
129,-406,90.58,130,185,
130,-323,104.14,136,219,
131,-415,107.69,146,228,
132,-140,145.77,184,238,
133,-249,137.83,176,242,
134,-452,130.03,178,249,
135,-150,140.79,173,244,
136,-376,136.94,177,247,
137,-553,147.34,182,249,
138,-407,142.14,186,248,
139,-404,126.13,183,246,
140,-328,136.03,180,251,
141,-311,155.66,196,253,
142,-242,157.62,198,255,
143,-416,130.18,194,261,
144,-257,151.88,192,261,
145,-493,146.58,206,264,
146,-157,176.17,218,262,
147,-260,146.18,206,266,
148,-209,168.47,212,276,
149,-298,189.63,241,292,
150,-287,180.26,222,283,
151,-269,182.19,222,289,
152,-145,189.06,243,281,
153,-343,174.2,223,293,
154,-213,198.41,237,309,
155,-488,188.01,236,325,
156,-365,212.67,268,329,
157,-343,213.42,271,330,
158,-327,201.61,257,333,
159,-332,216.43,280,331,
160,-406,195.76,256,330,
161,-421,217.63,268,337,
162,-148,227.66,276,339,
163,-449,219.42,280,341,
164,-399,201.28,245,336,
165,-452,197.85,269,334,
166,-459,218.96,291,332,
167,-335,211.34,271,342,
168,-278,222.33,269,328,
169,-393,235.48,292,342,
170,-394,228.33,276,344,
171,-448,183.49,244,339,
172,-348,231.31,268,338,
173,-357,202.49,275,337,
174,-251,239.36,299,342,
175,-298,214.8,272,338,
176,-373,213.86,265,338,
177,-438,207.05,251,351,
178,-565,216.97,271,337,
179,-214,246.63,300,351,
180,-334,223.8,289,352,
181,-180,235.52,282,350,
182,-204,242.89,289,355,
183,-465,212.34,286,348,
184,-143,236.15,259,347,
185,-374,210.13,262,350,
186,-416,235.1,299,347,
187,-177,245.67,308,351,
188,-320,234.58,295,354,
189,-265,226.19,283,356,
190,-410,218.77,290,345,
191,-478,223.59,283,346,
192,-404,226.8,264,352,
193,-539,221.58,291,352,
194,-369,249.1,310,349,
195,-191,243.31,293,348,
196,-388,206.99,262,348,
197,-435,198.76,280,346,
198,-426,235.6,287,349,
199,-484,204.38,274,351,
200,-457,226.91,284,355,
201,-384,220.37,270,357,
202,-269,225.98,286,353,
203,-418,204.47,284,359,
204,-413,238.2,262,364,
205,-585,238.64,317,360,
206,-218,246.46,297,364,
207,-198,238.3,280,363,
208,-256,241.97,302,375,
209,-366,239.44,325,376,
210,-381,227.72,311,386,
211,-338,263.8,314,386,
212,-418,230.58,313,380,
213,-252,263.71,341,381,
214,-386,248.36,317,381,
215,-161,229.63,271,378,
216,-284,269.39,328,390,
217,-296,244.83,308,380,
218,-349,215.08,289,389,
219,-320,248.75,308,385,
220,-355,252.08,317,381,
221,-291,233.8,291,379,
222,-413,224.97,291,370,
223,-353,245.78,322,373,
224,-275,228.41,297,383,
225,-333,225.57,296,378,
226,-251,243.57,305,362,
227,-247,227.26,292,382,
228,-103,243.96,291,379,
229,-248,240.28,303,375,
230,-379,245.54,306,380,
231,-415,233.78,292,369,
232,-461,218.64,273,376,
233,-359,214.81,262,361,
234,-418,261.68,312,367,
235,-439,213.9,301,381,
236,-168,251.83,305,376,
237,-240,243.26,288,369,
238,-281,230.17,279,372,
239,-410,220.01,279,389,
240,-279,224.6,272,373,
241,-288,216.99,257,377,
242,-405,200.28,257,392,
243,-329,262.57,318,368,
244,-399,230.23,304,378,
245,-350,235.26,276,371,
246,-362,226.7,294,359,
247,-226,240.39,297,375,
248,-219,232.01,287,381,
249,-260,243.58,300,379,
250,-445,217.51,297,377,
251,-201,238.21,295,384,
252,-508,207.39,271,385,
253,-397,229.18,310,392,
254,-122,261.12,302,389,
255,-362,227.16,293,379,
256,-346,252.49,319,378,
257,-222,267.44,324,391,
